Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7608.76538,19.366,0.07,19.366,0.06999999999999998
OGLE,I,7609.50606,19.442,0.091,19.442,0.091
OGLE,I,7609.56141,19.415,0.076,19.415,0.076
OGLE,I,7609.61708,19.34,0.066,19.34,0.06599999999999999
OGLE,I,7609.66179,19.485,0.07,19.485,0.06999999999999999
OGLE,I,7609.71148,19.382,0.068,19.382,0.06800000000000002
OGLE,I,7609.7431,19.386,0.076,19.386,0.076
OGLE,I,7610.47506,19.66,0.119,19.66,0.11899999999999997
OGLE,I,7610.52008,19.54,0.098,19.54,0.098
OGLE,I,7610.58134,19.268,0.061,19.268,0.060999999999999985
OGLE,I,7610.63492,19.659,0.089,19.659,0.08899999999999998
OGLE,I,7610.6791,19.399,0.062,19.399,0.062
OGLE,I,7610.72302,19.543,0.073,19.543,0.07299999999999998
OGLE,I,7611.56282,19.588,0.115,19.588,0.11499999999999998
OGLE,I,7611.65027,19.262,0.064,19.262,0.064
OGLE,I,7611.7322,19.505,0.113,19.505,0.113
OGLE,I,7612.49801,19.346,0.076,19.346,0.076
OGLE,I,7612.5358,19.422,0.069,19.422,0.069
OGLE,I,7612.5766,19.44,0.078,19.44,0.07799999999999999
OGLE,I,7612.61431,19.489,0.075,19.489,0.075
OGLE,I,7612.6518,19.446,0.083,19.446,0.08299999999999999
OGLE,I,7612.68963,19.39,0.076,19.39,0.076
OGLE,I,7612.72734,19.4,0.078,19.4,0.07799999999999999
OGLE,I,7616.54833,19.434,0.077,19.434,0.07700000000000001
OGLE,I,7617.49646,19.4,0.104,19.4,0.10399999999999998
OGLE,I,7617.54373,19.367,0.089,19.367,0.089
OGLE,I,7617.5889,19.331,0.106,19.331,0.10599999999999998
OGLE,I,7617.63267,19.367,0.093,19.367,0.09300000000000001
OGLE,I,7617.67657,19.167,0.074,19.167,0.074
OGLE,I,7617.71978,19.147,0.098,19.147,0.098
OGLE,I,7618.49172,19.467,0.096,19.467,0.096
OGLE,I,7618.53832,19.45,0.084,19.45,0.084
OGLE,I,7618.58216,19.611,0.099,19.611,0.099
OGLE,I,7618.62579,19.464,0.103,19.464,0.10299999999999998
OGLE,I,7618.66943,19.692,0.135,19.692,0.13499999999999998
OGLE,I,7618.70923,19.391,0.109,19.391,0.10899999999999999
OGLE,I,7619.52524,19.216,0.088,19.216,0.088
OGLE,I,7619.58379,19.674,0.139,19.674,0.13899999999999998
OGLE,I,7621.52256,19.193,0.071,19.193,0.07099999999999997
OGLE,I,7621.56906,19.476,0.072,19.476,0.07199999999999998
OGLE,I,7621.619,19.63,0.105,19.63,0.105
OGLE,I,7621.66866,19.084,0.077,19.084,0.077
OGLE,I,7622.47459,19.439,0.087,19.439,0.08699999999999998
OGLE,I,7622.52809,19.262,0.055,19.262,0.054999999999999986
OGLE,I,7622.57572,19.441,0.062,19.441,0.061999999999999986
OGLE,I,7622.63945,19.407,0.062,19.407,0.061999999999999986
OGLE,I,7622.68409,19.432,0.061,19.432,0.060999999999999985
OGLE,I,7622.72199,19.482,0.068,19.482,0.068
OGLE,I,7623.50624,19.621,0.086,19.621,0.08599999999999997
OGLE,I,7623.55168,19.49,0.067,19.49,0.067
OGLE,I,7623.61512,19.3,0.057,19.3,0.05699999999999999
OGLE,I,7623.65917,19.251,0.067,19.251,0.06699999999999999
OGLE,I,7623.70256,19.443,0.079,19.443,0.07899999999999999
OGLE,I,7624.49213,19.233,0.063,19.233,0.06299999999999999
OGLE,I,7624.54904,19.524,0.069,19.524,0.06899999999999999
OGLE,I,7624.6065,19.489,0.084,19.489,0.084
OGLE,I,7624.65313,19.626,0.095,19.626,0.09499999999999999
OGLE,I,7625.4789,19.458,0.075,19.458,0.07500000000000001
OGLE,I,7625.53359,19.503,0.065,19.503,0.065
